,request_index,height,width,depth,fetched_item,time_to_fulfillment,elevator_idle_time,shuttle_idle_time,cumulative_height,total_cumulative_height,cumulative_depth,total_cumulative_depth,cumulative_time_to_fulfillment,total_cumulative_time_to_fulfillment,cumulative_elevator_idle_time,total_cumulative_elevator_idle_time,cumulative_shuttle_idle_time,total_cumulative_shuttle_idle_time
0,0,0,0,0,107.0,13.0,5.0,0.0,0,0,0,0,13.0,13.0,5.0,5.0,0.0,0.0
1,0,1,0,0,104.0,12.0,0.0,10.0,1,1,0,0,25.0,25.0,5.0,5.0,10.0,10.0
2,0,0,1,0,107.0,8.0,0.0,10.0,1,1,0,0,33.0,33.0,5.0,5.0,20.0,20.0
3,0,1,0,1,119.0,12.0,0.0,6.0,2,2,1,1,45.0,45.0,5.0,5.0,26.0,26.0
4,0,0,0,2,126.0,8.0,0.0,2.0,2,2,3,3,53.0,53.0,5.0,5.0,28.0,28.0
5,0,1,1,0,104.0,12.0,0.0,10.0,3,3,3,3,65.0,65.0,5.0,5.0,38.0,38.0
6,0,2,0,0,120.0,16.0,0.0,64.0,5,5,3,3,81.0,81.0,5.0,5.0,102.0,102.0
7,0,0,0,4,117.0,8.0,0.0,10.0,5,5,7,7,89.0,89.0,5.0,5.0,112.0,112.0
8,0,1,0,4,102.0,12.0,0.0,10.0,6,6,11,11,101.0,101.0,5.0,5.0,122.0,122.0
9,0,2,0,5,117.0,16.0,0.0,6.0,8,8,16,16,117.0,117.0,5.0,5.0,128.0,128.0
10,0,0,0,5,135.0,8.0,0.0,6.0,8,8,21,21,125.0,125.0,5.0,5.0,134.0,134.0
11,0,1,1,1,119.0,12.0,0.0,22.0,9,9,22,22,137.0,137.0,5.0,5.0,156.0,156.0
12,0,2,1,0,130.0,16.0,0.0,26.0,11,11,22,22,153.0,153.0,5.0,5.0,182.0,182.0
13,0,0,1,5,135.0,8.0,0.0,6.0,11,11,27,27,161.0,161.0,5.0,5.0,188.0,188.0
14,0,1,1,4,109.0,12.0,0.0,10.0,12,12,31,31,173.0,173.0,5.0,5.0,198.0,198.0
15,0,2,0,6,135.0,16.0,0.0,2.0,14,14,37,37,189.0,189.0,5.0,5.0,200.0,200.0
16,0,0,0,6,113.0,8.0,0.0,2.0,14,14,43,43,197.0,197.0,5.0,5.0,202.0,202.0
17,0,1,0,6,105.0,12.0,0.0,2.0,15,15,49,49,209.0,209.0,5.0,5.0,204.0,204.0
